NAME,CATEGORY,VIEW1PERMISSION1,VIEW1PERMISSION2,VIEW1PERMISSION3,VIEW1PERMISSION4,VIEW1PERMISSION5
"""Omcean Booking""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Deit""","[""health-wellness"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""TurboHire""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""BookingLive Connect""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Vanco Mobile for Zoom""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""SKILLGATE / JOB GATE""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Martin""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Melon LMS""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ScheduleIQ""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Excelicare""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MyCo""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""QuickMinutes""","[""team-collaborations""]",,,,,
"""Five To Nine""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Amplify OMS""","[""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CTX Vision""","[""customer-service""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Everyspace""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VinnyChat""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Consolidate""","[""productivity""]",,,,,
"""Techtud""","[""education"",""learning-development""]",,,,,
"""Jifflenow""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""MyVidya""","[""learning-development""]",,,,,
"""Knoblr Huddles""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VipeCloud Connect""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""IdealSeat""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Caredove""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Torq""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Alumnifire""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""EventSprout""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""BizteX Connect""","[""productivity""]",,,,,
"""EdenOS Genesis""","[""team-collaborations""]",,,,,
"""Simplicant""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""Eventhome""","[""eventmanagement"",""social-activities""]","""Settings""","""Profile & Contact Information""",,,
"""Kolegia School Manager""","[""customer-service"",""education""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ZealSchedule""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""SchedoolME""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""o-pen.tv""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Alchemy Lectures""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CentreStage""","[""education"",""learning-development""]",,,,,
"""ASM Meetings""","[""health-care"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Eventtia""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""iceScrum""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Bype""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""DanceClasses Live""","[""social-activities""]","""Settings""","""Profile & Contact Information""",,,
"""JOIN2WORK""","[""scheduling-calendar""]",,,,,
"""Raklet - CRM, Memberships, Events, Community""","[""crm"",""eventmanagement"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Onna""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Class for Users""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Fantastical for iOS""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Eventbrite 2.0""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Slapdash""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Salesforce Sales Cloud 360""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zoom vILT for Cornerstone Learning Suite""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Asana App for Zoom""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Prodoscore""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pipedream for Zoom Admins""","[""team-collaborations""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Adservio""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pexels - Virtual Backgrounds""","[""productivity""]","""Product Usage""",,,,
"""SimpleUpdates""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
